confluence_url,neuer_pfad
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147116,/diy-synth-other/projects/minimoog-restauration/minimoog-keyboard-restauration/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147127,/diy-synth-other/projects/mme-minimoog-clone-guinguin/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147129,/diy-synth-other/projects/oakleysound-tm3030/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147141,/diy-synth-other/projects/yocto-808-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147145,/diy-synth-other/projects/minipops-mp7-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147160,/diy-synth-other/projects/obx-clone-project/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147163,/diy-synth-other/projects/obx-clone-project/bom-obx-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147175,/diy-synth-other/repairs/20-2-elka-concorde-repair/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147177,/diy-synth-other/projects/ucapps-midibox-seq-lite/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147187,/diy-synth-other/repairs/sh-101-service/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147194,/diy-synth-other/projects/lxr-drumsynth-build-rev-1-2/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147198,/diy-synth-other/bom-ttsh-modified-rev-1/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147211,/diy-synth-other/projects/obx-clone-project/obx-building-tips/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147215,/diy-synth-other/projects/obx-clone-project/obx-frontpanel-and-chassis-for-obx-and-marienberg-4voice-midi-cv/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147384,/diy-synth-other/projects/yocto-808-clone/yocto-schematics/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147394,/diy-synth-other/projects/minimoog-restauration/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147404,/diy-synth-other/projects/syncussion-sy-1-clone/syncussion-power-modification/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147407,/diy-synth-other/repairs/novation-supernova-2-keyboard-voicecard/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147409,/diy-synth-other/repairs/cgs-wasp-dual-with-spread-cv-repair/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147419,/diy-synth-other/projects/mfos-ultimate-smt-version/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147424,/diy-synth-other/projects/juergen-haible-vocoder/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147440,/diy-synth-other/repairs/elka-concorde-811-fan-exchange/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147442,/diy-synth-other/projects/kawai-k5000s-modification-usb-floppy/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147450,/diy-synth-other/blog/2014-07-23-new-ttsh-groupbuy-started/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147452,/diy-synth-other/projects/yocto-808-clone/yocto-808-clone-known-issues-building-tipps/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147459,/diy-synth-other/projects/oakleysound-se330-meets-hvm/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147499,/diy-synth-other/blog/2014-05-12-second-ttsh-groupbuy-in-planning/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147502,/diy-synth-other/projects/juergen-haible-fs1a-frequency-shifter/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147511,/diy-synth-other/projects/jsisynth-progue/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147519,/diy-synth-other/manual/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147522,/diy-synth-other/projects/juergen-haible-fs1a-frequency-shifter/issuehandling/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147527,/diy-synth-other/projects/juergen-haible-fs1a-frequency-shifter/juergen-haible-fs1a-additional-tech/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147534,/diy-synth-other/repairs/behringer-b2600-calibration-and-vcf-modification/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147539,/diy-synth-other/projects/akai-s6000-storage-solution/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147542,/diy-synth-other/projects/ems-synthi-a-clone/synthia-vcs3-calibration/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147544,/diy-synth-other/tech-docs/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147547,/diy-synth-other/projects/lxr-drumsynth-build-rev-1-2/tech-docs-lxr/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147558,/diy-synth-other/products/lab-psu-breakoutboard-pcb/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147560,/diy-synth-other/projects/buchla-208-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147579,/diy-synth-other/repairs/korg-minipops7-mod-and-service/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147589,/diy-synth-other/products/ms2600kbd/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147597,/diy-synth-other/projects/sequential-sixtrak-output-mod/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147606,/diy-synth-other/projects/the-cloney-project-synthey-aks-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147609,/diy-synth-other/projects/re-303-not-a-further-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147636,/diy-synth-other/projects/re-909-tr-909-replica/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147638,/diy-synth-other/products/arp2600-keyboard-3620-clock-input-modification/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147663,/diy-synth-other/projects/buchla-clone-288r-v2/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147673,/diy-synth-other/projects/re-808-its-a-replica-of-the-tr-808/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147690,/diy-synth-other/projects/tr-909-firmware/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147703,/diy-synth-other/projects/kobol-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147709,/diy-synth-other/projects/swenigiser-orgon-enigiser-clone/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147731,/diy-synth-other/projects/jsi-resonator/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147734,/diy-synth-other/projects/arp-4017-submodules-special/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147778,/diy-synth-other/projects/minimoog-restauration/minimoog-capacitors/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147790,/diy-synth-other/repairs/native-instruments-s4-controller-crossfader-repair/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147802,/diy-synth-other/projects/ems-synthi-a-clone/synthia-building-tips/
https://diysynth.wiki.dsl-man.de/wiki/spaces/DSO/pages/1147835,/diy-synth-other/repairs/yusynth-system/
